"prefix","id","level","class_name","article","status","source","create_date","target_url","publisher"
"10.4103",59039,"ERROR","Net::HTTPInternalServerError","10.4103/0970-9371.117657",500,"pmceuropedata","2014-11-12T10:21:53Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/24130407/databaseLinks//1/json","Medknow"
"10.1371",59038,"ERROR","Net::HTTPInternalServerError","10.1371/journal.pone.0034129",500,"pmceuropedata","2014-11-12T10:21:53Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22509273/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1037",59037,"ERROR","Net::HTTPInternalServerError","10.1037/a0026138",500,"pmceuropedata","2014-11-12T10:21:52Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22582007/databaseLinks//1/json","American Psychological Association (APA)"
"10.1371",59036,"ERROR","Net::HTTPInternalServerError","10.1371/journal.pone.0022555",500,"pmceuropedata","2014-11-12T10:20:17Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21799896/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1007",59035,"ERROR","Net::HTTPInternalServerError","10.1007/s12663-011-0211-3",500,"pmceuropedata","2014-11-12T10:20:15Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22942585/databaseLinks//1/json","Springer Science + Business Media"
"10.1053",59034,"ERROR","Net::HTTPInternalServerError","10.1053/j.ajkd.2010.09.026",500,"pmceuropedata","2014-11-12T10:20:14Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21146270/databaseLinks//1/json","Elsevier BV"
"10.4103",59033,"ERROR","Net::HTTPInternalServerError","10.4103/0019-5154.108083",500,"pmceuropedata","2014-11-12T10:20:13Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/23716830/databaseLinks//1/json","Medknow"
"10.1371",59032,"ERROR","Net::HTTPInternalServerError","10.1371/journal.pone.0033798",500,"pmceuropedata","2014-11-12T10:20:12Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22493674/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1155",59020,"ERROR","Net::HTTPInternalServerError","10.1155/2012/874152",500,"pmceuropedata","2014-11-11T11:51:33Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22900192/databaseLinks//1/json","Hindawi Publishing Corporation"
"10.1105",59019,"ERROR","Net::HTTPInternalServerError","10.1105/tpc.114.129122",500,"pmceuropedata","2014-11-11T11:51:33Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/25194027/databaseLinks//1/json","American Society of Plant Biologists (ASPB)"
"10.1371",59018,"ERROR","Net::HTTPInternalServerError","10.1371/journal.pone.0052257",500,"pmceuropedata","2014-11-11T11:51:32Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/23284958/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.3346",59017,"ERROR","Net::HTTPInternalServerError","10.3346/jkms.2011.26.11.1409",500,"pmceuropedata","2014-11-11T11:51:32Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22065895/databaseLinks//1/json","Korean Academy of Medical Sciences (KAMJE)"
"10.1186",59016,"ERROR","Net::HTTPInternalServerError","10.1186/1746-4269-9-75",500,"pmceuropedata","2014-11-11T11:51:30Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/24229063/databaseLinks//1/json","Springer Science + Business Media"
"10.1093",59015,"ERROR","Net::HTTPInternalServerError","10.1093/hmg/ddr025",500,"pmceuropedata","2014-11-11T11:51:28Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21257638/databaseLinks//1/json","Oxford University Press (OUP)"
"10.1155",59014,"ERROR","Net::HTTPInternalServerError","10.1155/2012/670180",500,"pmceuropedata","2014-11-11T11:49:57Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21876838/databaseLinks//1/json","Hindawi Publishing Corporation"
"10.1159",59013,"ERROR","Net::HTTPInternalServerError","10.1159/000348350",500,"pmceuropedata","2014-11-11T11:49:56Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/23637703/databaseLinks//1/json","S. Karger AG"
"10.4061",59012,"ERROR","Net::HTTPInternalServerError","10.4061/2011/324916",500,"pmceuropedata","2014-11-11T11:49:55Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21755057/databaseLinks//1/json","Hindawi Publishing Corporation"
"10.1016",59011,"ERROR","Net::HTTPInternalServerError","10.1016/j.atherosclerosis.2014.05.937",500,"pmceuropedata","2014-11-11T11:49:55Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/24937467/databaseLinks//1/json","Elsevier BV"
"10.4103",59010,"ERROR","Net::HTTPInternalServerError","10.4103/2153-3539.93891",500,"pmceuropedata","2014-11-11T11:49:53Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22530177/databaseLinks//1/json","Medknow"
