"id","level","class_name","article","status","source","create_date","target_url"
1633670,"FATAL","Faraday::ResourceNotFound","10.3125/econst.v295i12.238",404,NA,"2014-11-12T21:26:39Z","http://dx.doi.org/10.3125/econst.v295i12.238"
1633669,"FATAL","Faraday::ResourceNotFound","10.7719/jpair.v15i1.264",404,NA,"2014-11-12T21:26:28Z","http://philair.ph/publication/index.php/irj/index"
1633667,"ERROR","Net::HTTPNotAcceptable","10.5700/rege500",406,NA,"2014-11-12T21:26:04Z","http://dx.doi.org/10.5700/rege500"
1633668,"ERROR","Net::HTTPNotAcceptable","10.5700/rege394",406,NA,"2014-11-12T21:26:04Z","http://dx.doi.org/10.5700/rege394"
1633666,"FATAL","Faraday::ResourceNotFound","10.4081/thal.2014.s1.2261",404,NA,"2014-11-12T21:26:01Z","http://www.pagepressjournals.org/index.php/thal/index"
1633664,"ERROR","Net::HTTPNotAcceptable","10.5700/rege420",406,NA,"2014-11-12T21:25:59Z","http://dx.doi.org/10.5700/rege420"
1633663,"ERROR","Faraday::ResourceNotFound","10.4322/sc.2014.016",404,NA,"2014-11-12T21:25:44Z","http://www.scientiachromatographica.com/doi/10.4322/sc.2014.016"
1633662,"FATAL","Faraday::ResourceNotFound","10.3125/jstd.v10i3.430",404,NA,"2014-11-12T21:25:35Z","http://dx.doi.org/10.3125/jstd.v10i3.430"
1633660,"FATAL","Faraday::ResourceNotFound","10.3125/jstd.v10i2.402",404,NA,"2014-11-12T21:25:21Z","http://dx.doi.org/10.3125/jstd.v10i2.402"
1633661,"FATAL","Faraday::ResourceNotFound","10.3125/rsr.v4i0.46",404,NA,"2014-11-12T21:25:21Z","http://dx.doi.org/10.3125/rsr.v4i0.46"
1633659,"FATAL","Faraday::ResourceNotFound","10.4314/ejesm.v5i2.12",404,NA,"2014-11-12T21:25:02Z","http://www.ajol.info/index.php/ejesm/index"
